	type	p	R_naught	infectious_period	incubation_time
0	real-subtrees	0.447322979907068	2.34129521938888	1.64756834145495	1.36992889477116
0	CNN		2.1211965	1.50499366579465	1.3265337975160099
0	FFNN		2.1211965	1.50499366579465	1.3265337975160099
0	CNN-subtrees		2.0808573	1.3317469	1.4730177
0	real	0.447322979907068	2.34129521938888	1.64756834145495	1.36992889477116
0	FFNN-subtrees		2.248149	1.5397934	1.3900676
0	BEAST2		2.26945994743363	1.6411408038809099	1.2804941305353101
1	CNN		3.2002650000000004	3.1515233274575603	4.3307140011560605
1	BEAST2		3.2682440431525803	3.2763869737786298	4.17950985159761
1	real-subtrees	0.6225767763228239	3.3684089866500497	3.71345840136623	3.96239667724268
1	FFNN-subtrees		3.3012762	3.2670852999999997	4.1676645
1	CNN-subtrees		3.1478479999999998	3.2492012999999997	3.8464824999999996
1	FFNN		3.2002650000000004	3.1515233274575603	4.3307140011560605
1	real	0.6225767763228239	3.3684089866500497	3.71345840136623	3.96239667724268
2	BEAST2		4.32662684174412	8.52250503498336	34.9700367938886
2	CNN-subtrees		4.237944000000001	8.497306	29.116106
2	CNN		4.487149700000001	8.68400171309773	34.4531462310742
2	real	0.997036566631611	3.90961894078582	7.83229215772936	33.006439091525
2	FFNN-subtrees		3.8284267999999995	9.382225	28.716920000000002
2	real-subtrees	0.997036566631611	3.90961894078582	7.83229215772936	33.006439091525
2	FFNN		4.487149700000001	8.68400171309773	34.4531462310742
3	CNN		4.184746700000001	2.19902229232144	8.312243391927261
3	real-subtrees	0.8293398478248979	3.99018693635541	2.3660999627382098	8.305388994870441
3	FFNN-subtrees		4.037498	2.1007008999999996	8.247538
3	BEAST2		3.0	5.5	25.1
3	real	0.8293398478248979	3.99018693635541	2.3660999627382098	8.305388994870441
3	FFNN		4.184746700000001	2.19902229232144	8.312243391927261
3	CNN-subtrees		4.107530000000001	2.0660944	8.126982
4	FFNN		1.8918337	6.6191211097441895	23.4519652538249
4	BEAST2		1.9300180029822498	6.479290137815941	23.844907497023396
4	real	0.6549452351128721	1.83993658224913	7.014782251317482	21.380250288025998
4	CNN-subtrees		1.6849174	6.411950599999999	22.137535
4	real-subtrees	0.6549452351128721	1.83993658224913	7.014782251317482	21.380250288025998
4	FFNN-subtrees		1.8218942	6.9225710000000005	22.78869
4	CNN		1.8918337	6.6191211097441895	23.4519652538249
5	real	0.4271495730639	1.39576548632954	4.857964876447388	1.08224803459855
5	FFNN-subtrees		1.433127	4.5183516	1.7368728999999998
5	BEAST2		1.3812631485238	5.283290423256781	0.924667122547999
5	CNN-subtrees		1.4153626	4.635521	1.5665818
5	real-subtrees	0.4271495730639	1.39576548632954	4.857964876447388	1.08224803459855
5	FFNN		1.382581	4.41422234116167	1.42138331642254
5	CNN		1.382581	4.41422234116167	1.42138331642254
6	FFNN		4.511586	5.80869032892967	2.6133761530382595
6	FFNN-subtrees		4.6520529999999995	5.7827187	2.73581
6	real	0.032288791520142	4.57630768648155	7.44422540338845	2.00971263215509
6	real-subtrees	0.032288791520142	4.57630768648155	7.44422540338845	2.00971263215509
6	CNN-subtrees		4.5866737	5.856686	2.6267624
6	CNN		4.511586	5.80869032892967	2.6133761530382595
6	BEAST2		4.5118387528331105	8.53522343860127	1.41162422076747
7	CNN		3.0761309	5.37878835050994	21.4879981386172
7	FFNN-subtrees		3.0746279	6.1135225	19.644638
7	real-subtrees	0.315735053639742	2.93422571137233	4.65107236136891	19.6314123635054
7	CNN-subtrees		3.0194438	5.423351	20.94226
7	BEAST2		3.2277455432474302	5.320206263644111	21.455692524417
7	FFNN		3.0761309	5.37878835050994	21.4879981386172
7	real	0.315735053639742	2.93422571137233	4.65107236136891	19.6314123635054
8	BEAST2		2.02261738060598	5.395394065031709	15.465296925666001
8	CNN		1.9829441000000003	5.6206040612388595	14.6587009872838
