	type	p	R0	infectious period	incubation time
0	real-subtrees	0.447322979907068	2.34129521938888	1.64756834145495	1.36992889477116
0	FFNN		2.2933537999999998	1.53157258990246	1.37122967031784
0	FFNN (on small)		2.415565	1.64698722740774	1.3972746371486597
0	CNN (subtrees)		2.3528987899632523	1.4509810356187147	1.4590015285451647
0	real	0.447322979907068	2.34129521938888	1.64756834145495	1.36992889477116
0	FFNN (subtrees)		2.5113199260872854	1.48097898338882	1.504747151488989
0	CNN		2.1211965	1.50499366579465	1.3265337975160099
1	FFNN		3.3358476	2.86509244089444	4.827684189342509
1	CNN		3.2002650000000004	3.1515233274575603	4.3307140011560605
1	real-subtrees	0.6225767763228239	3.3684089866500497	3.71345840136623	3.96239667724268
1	FFNN (subtrees)		3.271515369415283	2.939473390579224	4.714710712432861
1	CNN (subtrees)		3.606844425201416	3.482504606246948	4.167561531066895
1	FFNN (on small)		3.33817	2.8531737629953504	4.99587557139478
1	real	0.6225767763228239	3.3684089866500497	3.71345840136623	3.96239667724268
2	CNN		4.487149700000001	8.68400171309773	34.4531462310742
2	CNN (subtrees)		4.0250537464919605	8.466973423957825	28.562292668425922
2	FFNN		4.1929927000000005	8.30691630619153	34.1919529975813
2	real	0.997036566631611	3.90961894078582	7.83229215772936	33.006439091525
2	FFNN (subtrees)		3.8523040257611316	8.788519098920728	27.82821755733305
2	real-subtrees	0.997036566631611	3.90961894078582	7.83229215772936	33.006439091525
2	FFNN (on small)		3.6383667	9.02135182340016	30.0260240345919
3	FFNN		4.1245227	2.07766816663084	8.256254314414821
3	real-subtrees	0.8293398478248979	3.99018693635541	2.3660999627382098	8.305388994870441
3	FFNN (subtrees)		4.079058170318604	2.0340409278869633	8.35986328125
3	CNN		4.184746700000001	2.19902229232144	8.312243391927261
3	real	0.8293398478248979	3.99018693635541	2.3660999627382098	8.305388994870441
3	FFNN (on small)		4.1104026	2.07420645239786	8.30375736199909
3	CNN (subtrees)		3.5596997737884517	2.120319604873657	7.7618980407714835
4	FFNN (on small)		1.880239	6.03679056712565	24.313456735917896
4	CNN		1.8918337	6.6191211097441895	23.4519652538249
4	real	0.6549452351128721	1.83993658224913	7.014782251317482	21.380250288025998
4	CNN (subtrees)		1.9210615510629832	6.273164473081889	23.207259041922434
4	real-subtrees	0.6549452351128721	1.83993658224913	7.014782251317482	21.380250288025998
4	FFNN (subtrees)		1.9447855387713973	6.449925160945806	23.927003721844287
4	FFNN		1.915627	6.5166599537400804	23.6996953479028
5	real	0.4271495730639	1.39576548632954	4.857964876447388	1.08224803459855
5	FFNN (subtrees)		1.3915799717789905	4.005478687839962	1.8211086997885189
5	CNN		1.382581	4.41422234116167	1.42138331642254
5	CNN (subtrees)		1.3834066208560107	4.11897992961954	1.7110988505597478
5	real-subtrees	0.4271495730639	1.39576548632954	4.857964876447388	1.08224803459855
5	FFNN (on small)		1.4514163	4.68436199038426	1.4372079142991998
5	FFNN		1.3658131000000002	4.35895194983471	1.49963443464822
6	FFNN (on small)		4.7295055	6.73622818927186	2.15377656149194
6	FFNN (subtrees)		4.4475916862487805	5.657802963256836	2.46069917678833
6	real	0.032288791520142	4.57630768648155	7.44422540338845	2.00971263215509
6	real-subtrees	0.032288791520142	4.57630768648155	7.44422540338845	2.00971263215509
6	CNN (subtrees)		4.415111923217774	5.254191589355469	2.7777657508850098
6	FFNN		4.4052315	6.1636172944444	2.25724264135842
6	CNN		4.511586	5.80869032892967	2.6133761530382595
7	FFNN		3.1847972999999996	5.407987499418829	21.1178441262892
7	FFNN (subtrees)		3.2733462472395463	5.655702703649348	20.77258063576438
7	real-subtrees	0.315735053639742	2.93422571137233	4.65107236136891	19.6314123635054
7	CNN (subtrees)		3.1784527128393	5.557621836228804	21.288664682561702
7	CNN		3.0761309	5.37878835050994	21.4879981386172
7	FFNN (on small)		3.30937	5.5414878359957	21.4791793847599
7	real	0.315735053639742	2.93422571137233	4.65107236136891	19.6314123635054
8	CNN		1.9829441000000003	5.6206040612388595	14.6587009872838
8	FFNN		1.9717891	5.124445469741151	15.4760754339369
8	FFNN (subtrees)		2.0736566467890665	4.9264542337447885	16.707529812767394
8	real-subtrees	0.969111940083884	1.97755200114107	4.7202067967406	18.3465213657537
8	real	0.969111940083884	1.97755200114107	4.7202067967406	18.3465213657537
8	CNN (subtrees)		2.065669068836031	5.230815118456644	15.986031925867474
8	FFNN (on small)		1.9138247	5.0747662141122	15.249128089397399
9	CNN		1.0792652	6.99506063733676	24.8695492392528
9	CNN (subtrees)		1.183413863182068	6.789289474487305	26.73204231262207
